ClaudeHiakuWeb-raw_correctness,ClaudeSonnetWeb-raw_correctness,ClaudeOpuWeb-raw_correctness,GeminiWeb-raw_correctness,GeminiAdvancedWeb-raw_correctness,gpt-3.5-turbo-0125_correctness,gpt-4-0613_correctness,GPT3.5Web_correctness,GPT4Web_correctness,llama2-13B-Q5KM_correctness,medicine-chat-Q8_correctness,llama2-7B-Q8_correctness,mistral-instruct-v2-Q8_correctness,phi3-3b-Q16_correctness,llama3-8b-Q8_correctness,Llama27B-Poe_correctness,Mixtral-8x7B-Poe_correctness,MistralLarge-Poe_correctness,Llama270B-Poe_correctness,claude-3-opus-20240229_correctness,claude-3-haiku-20240307_correctness,claude-3-sonnet-20240229_correctness,Llama3-70b-Poe_correctness,Llama3-8b-Poe_correctness,gpt-4o-2024-05-13_correctness,openbioLLM-7B-Q8_correctness,claude-3-5-sonnet-20240620_correctness,gpt-4o-mini-2024-07-18_correctness,gemma2-9b-it_correctness,Gemma2-9b-Q8_correctness,Mistral-7B-T_correctness,Llama-2-13b_correctness,Phi3-medium14b-Q6_correctness,Llama3.1-405B_correctness,Llama3.1-70B_correctness,Llama3.1-8B_correctness,gemma2-27b-it_correctness
Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect
Incorrect,Incorrect,Incorrect,Incorrect,2OP,Correct,Correct,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,correct,incorrect,Incorrect,Correct,Correct,Incorrect,Correct,Incorrect,Correct,incorrect,incorrect,correct,correct,incorrect,correct,NOP,incorrect,correct,incorrect,incorrect,correct,incorrect,correct,incorrect
Incorrect,Incorrect,Incorrect,correct,Incorrect,Incorrect,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,Incorrect,correct,correct,Incorrect,Correct,Correct,EOP,Correct,Incorrect,Incorrect,correct,incorrect,correct,correct,incorrect,correct,incorrect,correct,incorrect,incorrect,incorrect,correct,incorrect,correct,incorrect
correct,Incorrect,correct,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,incorrect,incorrect,correct,incorrect,correct,correct,incorrect,incorrect,incorrect,incorrect,incorrect,correct,correct,incorrect,incorrect
correct,correct,correct,Incorrect,NOP,Incorrect,Incorrect,Correct,Incorrect,Correct,correct,Correct,Incorrect,correct,incorrect,Incorrect,Correct,NOP,Correct,Incorrect,Correct,Correct,correct,incorrect,Incorrect,correct,Correct,Incorrect,incorrect,incorrect,incorrect,correct,incorrect,incorrect,incorrect,correct,NOP
Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,incorrect,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Incorrect,incorrect,incorrect,correct,incorrect,correct,incorrect,incorrect,incorrect,correct,incorrect,incorrect,incorrect,incorrect,incorrect,Correct
correct,correct,correct,Incorrect,correct,Incorrect,Correct,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,correct,correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Incorrect,correct,correct,correct,incorrect,correct,correct,incorrect,correct,correct,incorrect,correct,correct,correct,correct,correct
Incorrect,Incorrect,Incorrect,correct,2OP,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,incorrect,Incorrect,Correct,Correct,EOP,Incorrect,Correct,Correct,correct,incorrect,correct,incorrect,correct,correct,correct,incorrect,NOP,correct,incorrect,incorrect,correct,incorrect,incorrect
correct,correct,correct,correct,correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,correct,incorrect,incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,correct,correct,correct,incorrect,correct,correct,correct,correct,EOP,correct,correct,correct,correct,correct,correct
Incorrect,correct,correct,2OP,2OP,Incorrect,Incorrect,Incorrect,Correct,Correct,correct,Incorrect,correct,incorrect,incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Incorrect,incorrect,correct,incorrect,incorrect,incorrect,Correct,correct,correct,incorrect,correct,incorrect,correct,correct,correct,correct
correct,correct,correct,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,incorrect,EOP,Incorrect,Incorrect,Correct,Correct,Correct,Correct,correct,incorrect,correct,incorrect,correct,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct,incorrect
correct,correct,correct,correct,correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,correct,correct,correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,incorrect,correct
Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,2OP,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,incorrect,incorrect,correct,incorrect,correct,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect
Incorrect,correct,correct,correct,correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Incorrect,incorrect,incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Correct,incorrect,incorrect,correct,incorrect,incorrect,correct,correct,correct,incorrect,incorrect,correct,incorrect,incorrect,incorrect,correct
correct,correct,correct,correct,Incorrect,Incorrect,Correct,Incorrect,Correct,Incorrect,Incorrect,Incorrect,correct,incorrect,incorrect,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,incorrect,correct,correct,incorrect,Correct,incorrect,incorrect,correct,correct,incorrect,incorrect,correct,correct,correct,incorrect
correct,correct,correct,correct,correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,correct,incorrect,correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,incorrect,correct,correct,incorrect,incorrect,correct,correct,correct,correct,correct,correct,Correct,correct,incorrect,correct
Incorrect,correct,correct,Incorrect,2OP,Incorrect,Correct,Incorrect,Correct,Correct,Incorrect,Correct,Incorrect,incorrect,incorrect,Incorrect,Incorrect,Correct,Incorrect,Correct,Correct,Correct,correct,incorrect,correct,incorrect,correct,incorrect,incorrect,incorrect,incorrect,correct,incorrect,incorrect,correct,incorrect,incorrect
correct,correct,correct,correct,correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,correct,incorrect,correct,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,incorrect,incorrect,correct,incorrect,incorrect,correct,incorrect,correct,correct,incorrect,incorrect,correct,correct,incorrect,correct
correct,Incorrect,2OP,Incorrect,2OP,Correct,Incorrect,Correct,Correct,Incorrect,Incorrect,Incorrect,NOP,incorrect,incorrect,Incorrect,Incorrect,Correct,Incorrect,Correct,NOP,Correct,incorrect,incorrect,correct,incorrect,incorrect,correct,incorrect,incorrect,NOP,incorrect,correct,correct,incorrect,incorrect,incorrect
correct,EOP,correct,correct,EOP,Incorrect,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,Incorrect,EOP,EOP,EOP,Incorrect,Correct,Incorrect,Incorrect,Incorrect,EOP,correct,correct,correct,incorrect,correct,correct,EOP,EOP,incorrect,incorrect,correct,incorrect,incorrect,incorrect,2OP
Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,correct,Incorrect,Incorrect,incorrect,incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,NOP,incorrect,incorrect,incorrect,correct,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect
correct,correct,correct,correct,correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,correct,correct,incorrect,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,correct,correct,correct,incorrect,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
correct,Incorrect,correct,Incorrect,NoA,Incorrect,Correct,Incorrect,Correct,Incorrect,Incorrect,Incorrect,correct,correct,incorrect,Correct,Incorrect,Correct,Incorrect,Correct,Incorrect,Incorrect,correct,incorrect,correct,incorrect,correct,incorrect,correct,incorrect,correct,incorrect,incorrect,correct,correct,correct,incorrect
correct,correct,correct,correct,correct,Correct,Correct,Incorrect,Correct,Correct,correct,Incorrect,correct,correct,correct,Correct,Correct,Incorrect,Incorrect,Correct,Correct,Incorrect,correct,incorrect,incorrect,correct,correct,incorrect,correct,correct,correct,correct,correct,incorrect,incorrect,incorrect,correct
correct,correct,correct,correct,correct,Incorrect,Correct,Correct,Correct,Incorrect,Incorrect,Correct,Incorrect,incorrect,incorrect,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,correct,correct,correct,correct,correct,correct,correct,incorrect,correct,incorrect,incorrect,correct,correct,incorrect,EOP
Incorrect,Incorrect,Incorrect,NoA,NoA,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,incorrect,Incorrect,Incorrect,Incorrect,No answer,Incorrect,Incorrect,Incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect
Incorrect,Incorrect,Incorrect,Incorrect,correct,Incorrect,Incorrect,Correct,Incorrect,Incorrect,correct,Incorrect,Incorrect,incorrect,incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,correct,correct,correct,incorrect,correct,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct,correct,incorrect
correct,correct,correct,correct,correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,Incorrect,correct,correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Incorrect,correct,correct,correct,correct,correct,correct,incorrect,correct,NOP,incorrect,correct,correct,correct,correct,EOP
Incorrect,correct,correct,correct,correct,Correct,Correct,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,incorrect,Incorrect,Incorrect,Correct,Correct,Correct,Incorrect,Correct,correct,incorrect,incorrect,incorrect,correct,correct,correct,correct,incorrect,incorrect,correct,incorrect,correct,correct,correct
Incorrect,correct,correct,correct,correct,Correct,Correct,Incorrect,Correct,Correct,correct,Correct,correct,correct,incorrect,Correct,Correct,Correct,Incorrect,Correct,Incorrect,Correct,incorrect,correct,correct,incorrect,correct,correct,correct,incorrect,correct,correct,incorrect,correct,incorrect,incorrect,correct
correct,correct,correct,correct,correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Incorrect,Incorrect,correct,correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,correct,correct,correct,NoA,correct,correct,correct,correct,incorrect,correct,correct,correct,correct,correct,correct
correct,correct,correct,correct,correct,Incorrect,Incorrect,Correct,Incorrect,Correct,correct,Incorrect,correct,incorrect,correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,correct,incorrect,incorrect,incorrect,incorrect,correct,correct,incorrect,correct,correct,correct,correct,correct,correct,correct
correct,correct,correct,Incorrect,correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,correct,correct,correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,correct,correct,correct,correct,Correct,correct,correct,correct,correct,incorrect,incorrect,incorrect,correct,correct,correct
Incorrect,Incorrect,correct,Incorrect,correct,Incorrect,Correct,Incorrect,Correct,Incorrect,Incorrect,Incorrect,correct,correct,incorrect,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,correct,incorrect,correct,incorrect,correct,incorrect,incorrect,incorrect,correct,incorrect,incorrect,correct,incorrect,incorrect,correct
correct,correct,correct,2OP,NoA,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,correct,correct,correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,correct,correct,correct,incorrect,correct,correct,correct,correct,correct,incorrect,correct,correct,incorrect,correct,incorrect
correct,correct,correct,Incorrect,correct,Correct,Incorrect,Correct,Correct,Incorrect,Incorrect,Correct,Incorrect,correct,incorrect,Incorrect,Correct,Correct,Incorrect,Correct,Incorrect,Correct,incorrect,correct,correct,correct,correct,correct,incorrect,incorrect,incorrect,incorrect,correct,correct,correct,correct,correct
Incorrect,correct,correct,NoA,NoA,Correct,Correct,Incorrect,Correct,Incorrect,Incorrect,Incorrect,correct,correct,incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Correct,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct,correct,correct,incorrect,correct,correct,incorrect,incorrect,correct
Incorrect,correct,Incorrect,Incorrect,NoA,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,incorrect,incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Correct,incorrect,incorrect,correct,incorrect,incorrect,incorrect,correct,correct,incorrect,correct,correct,incorrect,correct,incorrect,correct
Incorrect,Incorrect,correct,Incorrect,Incorrect,Correct,Correct,Incorrect,Correct,Incorrect,correct,Correct,Incorrect,incorrect,incorrect,Incorrect,Incorrect,Correct,Correct,Correct,Incorrect,Incorrect,correct,correct,incorrect,NoA,correct,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct,incorrect
correct,correct,correct,correct,NoA,Incorrect,Correct,Correct,Incorrect,Correct,Incorrect,Incorrect,correct,incorrect,incorrect,Incorrect,Incorrect,Incorrect,Correct,NOP,Correct,Correct,incorrect,incorrect,correct,incorrect,correct,correct,incorrect,incorrect,correct,correct,incorrect,incorrect,correct,incorrect,correct
Incorrect,Incorrect,correct,Incorrect,correct,Incorrect,Correct,Incorrect,Correct,Incorrect,Incorrect,Incorrect,correct,incorrect,incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,correct,incorrect,correct,incorrect,Correct,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct,correct,correct,incorrect
Incorrect,Incorrect,Incorrect,correct,NoA,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,incorrect,correct,incorrect,correct,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect
correct,correct,correct,correct,Incorrect,Incorrect,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,incorrect,Incorrect,Correct,Correct,Incorrect,Correct,Incorrect,Correct,incorrect,incorrect,incorrect,Incorrect,correct,correct,correct,correct,correct,incorrect,correct,correct,correct,correct,incorrect
Incorrect,correct,correct,NoA,NoA,Incorrect,Correct,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,incorrect,Incorrect,Incorrect,Correct,Incorrect,Correct,Correct,Correct,correct,incorrect,incorrect,incorrect,correct,Incorrect,incorrect,incorrect,incorrect,incorrect,correct,incorrect,correct,correct,incorrect
correct,correct,correct,correct,correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Incorrect,incorrect,incorrect,Correct,Correct,Correct,Incorrect,Incorrect,Correct,Correct,correct,correct,correct,incorrect,correct,correct,correct,correct,correct,incorrect,correct,incorrect,correct,correct,correct
Incorrect,Incorrect,correct,Incorrect,correct,Incorrect,Incorrect,Correct,Correct,Incorrect,Incorrect,Correct,Incorrect,correct,correct,Incorrect,Incorrect,Correct,Incorrect,Correct,Incorrect,Incorrect,correct,correct,correct,incorrect,correct,incorrect,incorrect,incorrect,correct,incorrect,incorrect,incorrect,correct,incorrect,EOP
correct,correct,correct,correct,correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,incorrect,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,correct,correct,correct,incorrect,correct,correct,correct,correct,correct,incorrect,correct,correct,correct,correct,correct
Incorrect,correct,correct,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,correct,correct,incorrect,Incorrect,Incorrect,Correct,Correct,Correct,Incorrect,Incorrect,correct,correct,correct,incorrect,correct,correct,correct,correct,correct,incorrect,incorrect,correct,incorrect,incorrect,correct
correct,correct,correct,correct,correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,correct,incorrect,incorrect,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
correct,correct,correct,correct,correct,Incorrect,Incorrect,Correct,Incorrect,Correct,Incorrect,Incorrect,Incorrect,correct,incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,correct,correct,correct,incorrect,Correct,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct
correct,correct,correct,correct,NoA,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,correct,correct,incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,incorrect,correct,correct,correct,correct,correct
Incorrect,Incorrect,correct,Incorrect,NoA,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,incorrect,Incorrect,Correct,Correct,EOP,Correct,Incorrect,Correct,incorrect,incorrect,correct,incorrect,incorrect,correct,incorrect,correct,incorrect,incorrect,correct,incorrect,correct,incorrect,incorrect
correct,Incorrect,correct,Incorrect,correct,Incorrect,Correct,Incorrect,Correct,Incorrect,correct,Incorrect,NoA,incorrect,incorrect,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Incorrect,incorrect,incorrect,correct,incorrect,correct,correct,incorrect,incorrect,incorrect,correct,incorrect,incorrect,incorrect,incorrect,correct
Incorrect,Incorrect,correct,Incorrect,NoA,Correct,Correct,Correct,Incorrect,Correct,Incorrect,Incorrect,correct,correct,incorrect,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Incorrect,correct,correct,correct,incorrect,incorrect,incorrect,incorrect,correct,correct,correct,incorrect,incorrect,correct,incorrect,incorrect
Incorrect,Incorrect,correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,incorrect,correct,incorrect,incorrect,Incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect
Incorrect,correct,correct,Incorrect,correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Incorrect,incorrect,correct,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Incorrect,correct,incorrect,correct,incorrect,correct,incorrect,correct,correct,correct,correct,correct,correct,correct,incorrect,correct
correct,correct,correct,NoA,correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,correct,correct,incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
correct,correct,correct,Incorrect,correct,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,correct,incorrect,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,correct,correct,correct,incorrect,correct,correct,incorrect,incorrect,incorrect,incorrect,correct,incorrect,incorrect,correct,correct
Incorrect,correct,correct,NoA,correct,Incorrect,Correct,Correct,Correct,Correct,correct,Correct,NoA,correct,correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,correct,incorrect,correct,correct,correct,correct,incorrect,incorrect,incorrect,correct,correct,correct,correct,correct,incorrect
correct,correct,correct,correct,correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Correct,Incorrect,correct,incorrect,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,correct,correct,correct,incorrect,correct,correct,correct,correct,incorrect,incorrect,incorrect,correct,correct,correct,correct
correct,correct,correct,Incorrect,correct,Incorrect,Incorrect,Incorrect,Incorrect,Correct,correct,Incorrect,correct,correct,correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,correct,correct,correct,correct,correct,incorrect,correct,correct,correct,correct,incorrect,correct,correct,correct,correct
correct,correct,correct,correct,correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,Incorrect,correct,incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,correct,correct,correct,incorrect,correct,correct,correct,incorrect,incorrect,incorrect,correct,correct,correct,incorrect,correct
Incorrect,correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,correct,incorrect,correct,correct,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect
correct,correct,correct,correct,correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,incorrect,incorrect,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Correct,correct,correct,correct,incorrect,correct,correct,correct,correct,incorrect,correct,correct,correct,correct,correct,correct
Incorrect,Incorrect,correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Incorrect,incorrect,incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect
Incorrect,correct,correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,NoA,incorrect,incorrect,Incorrect,Correct,Correct,Incorrect,Correct,Correct,Incorrect,incorrect,correct,correct,correct,correct,correct,incorrect,incorrect,correct,incorrect,correct,correct,incorrect,incorrect,incorrect
Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,correct,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,incorrect,incorrect,incorrect,correct,correct,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect
Incorrect,correct,Incorrect,Incorrect,correct,Incorrect,Incorrect,NOP,Correct,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,incorrect,incorrect,incorrect,correct,correct,incorrect,incorrect,incorrect,incorrect,incorrect,correct,incorrect,incorrect,incorrect
Incorrect,Incorrect,Incorrect,Incorrect,correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,incorrect,correct,incorrect,correct,incorrect,incorrect,incorrect,incorrect,incorrect,correct,correct,EOP,incorrect,incorrect
Incorrect,correct,Incorrect,Incorrect,correct,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,incorrect,correct,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Correct,incorrect,incorrect,correct,incorrect,Incorrect,correct,incorrect,correct,incorrect,incorrect,incorrect,correct,incorrect,correct,correct
correct,correct,correct,correct,2OP,Correct,Correct,2OP,Correct,Correct,Incorrect,Correct,correct,incorrect,incorrect,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,correct,correct,correct,incorrect,correct,correct,correct,correct,incorrect,correct,correct,correct,correct,incorrect,incorrect
Incorrect,Incorrect,correct,Incorrect,2OP,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,incorrect,incorrect,Incorrect,Correct,Correct,Incorrect,Incorrect,Incorrect,Correct,correct,correct,incorrect,incorrect,correct,incorrect,incorrect,correct,incorrect,incorrect,incorrect,correct,correct,correct,correct
correct,correct,correct,Incorrect,correct,Correct,Correct,Incorrect,Correct,Correct,correct,Correct,correct,incorrect,incorrect,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Correct,correct,incorrect,correct,correct,correct,incorrect,incorrect,correct,incorrect,correct,correct,correct,correct,incorrect,incorrect
correct,Incorrect,Incorrect,NoA,NoA,Correct,Incorrect,Correct,Incorrect,Correct,correct,Incorrect,Incorrect,incorrect,incorrect,Correct,Incorrect,Correct,Incorrect,Incorrect,Correct,Incorrect,correct,correct,correct,correct,correct,incorrect,incorrect,incorrect,correct,incorrect,correct,correct,incorrect,correct,correct
Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,No answer,Incorrect,Incorrect,Incorrect,incorrect,incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,incorrect,correct,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,correct,incorrect,incorrect,incorrect
Incorrect,EOP,Incorrect,correct,correct,Correct,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,EOP,correct,correct,Correct,Correct,Correct,Correct,Correct,EOP,Incorrect,incorrect,incorrect,correct,correct,Correct,incorrect,EOP,incorrect,correct,incorrect,correct,correct,correct,correct,incorrect
Incorrect,correct,correct,correct,correct,Incorrect,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,2OP,incorrect,correct,Incorrect,Correct,Correct,EOP,Correct,Incorrect,Correct,correct,correct,correct,incorrect,correct,correct,correct,incorrect,incorrect,incorrect,correct,correct,correct,correct,incorrect
correct,Incorrect,correct,correct,correct,Incorrect,Correct,Incorrect,Correct,Correct,Incorrect,Correct,correct,correct,incorrect,Incorrect,Incorrect,Correct,Incorrect,Correct,NOP,EOP,correct,correct,incorrect,correct,correct,incorrect,correct,correct,correct,correct,correct,correct,correct,correct,correct
correct,correct,correct,Incorrect,correct,Incorrect,Correct,Correct,Correct,Correct,correct,Correct,correct,correct,incorrect,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Correct,correct,Incorrect,correct,NoA,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
correct,EOP,Incorrect,correct,Incorrect,Correct,Incorrect,Incorrect,Correct,Correct,Incorrect,Incorrect,Incorrect,incorrect,incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,EOP,EOP,incorrect,incorrect,incorrect,incorrect,incorrect,NOP,incorrect,incorrect,incorrect,correct,incorrect,incorrect,incorrect,EOP
Incorrect,Incorrect,Incorrect,correct,correct,Incorrect,Incorrect,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,correct,incorrect,Correct,Incorrect,Correct,Correct,Incorrect,Incorrect,Incorrect,incorrect,incorrect,incorrect,NoA,Incorrect,correct,incorrect,incorrect,incorrect,incorrect,correct,incorrect,incorrect,incorrect,incorrect
